#;Épület, torony, kémény;Város és ország;Magasság;Emeletek;Épült;Koordináták/Link GeoHack
1;Burdzs Kalifa;Egyesült Arab Emírségek Dubaj, Egyesült Arab Emírségek;828;163;2010;é. sz. 25° 11′ 49″, k. h. 55° 16′ 26″
2;Merdeka 118;Malajzia Kuala Lumpur, Malajzia;678,9;118;2023;é. sz. 3° 08′ 30″, k. h. 101° 42′ 02″
3;Tokyo Skytree;Japán Tokió, Japán;634;—;2011;é. sz. 35° 42′ 37″, k. h. 139° 48′ 39″
4;Shanghai Tower;Kína Sanghaj, Kína;632;128;2014;é. sz. 31° 14′ 10″, k. h. 121° 30′ 12″
5;Abrádzs al-Bajt;Szaúd-Arábia Mekka, Szaúd-Arábia;601;95;2012;é. sz. 21° 25′ 08″, k. h. 39° 49′ 35″
6;Kanton Torony;Kína Kanton, Kína;600;108;2010;é. sz. 23° 06′ 32″, k. h. 113° 19′ 08″
7;Ping International Center;Kína Sencsen, Kína;599,1;120;2017;é. sz. 22° 32′ 11″, k. h. 114° 03′ 02″
8;Goldin Finance 117;Kína Tiencsin, Kína;597;117;2020;é. sz. 39,089068°, k. h. 117,080226°
9;CN Torony;Kanada Toronto, Kanada;553;147;1976;é. sz. 43° 38′ 34″, ny. h. 79° 23′ 14″
10;One World Trade Center;Egyesült Államok New York, Amerikai Egyesült Államok;541;110;2013;é. sz. 40° 42′ 47″, ny. h. 74° 00′ 49″
11;Osztankinói tévétorony;Oroszország Moszkva, Oroszország;540,1;120;1967;é. sz. 55° 49′ 11″, k. h. 37° 36′ 42″
12;Guangzhou CTF Finance Centre;Kína Kanton, Kína;530;111;2016;é. sz. 23° 07′ 13″, k. h. 113° 19′ 14″
13;Willis Tower;Egyesült Államok Chicago, Amerikai Egyesült Államok;527;113;1974;é. sz. 41° 52′ 44″, ny. h. 87° 38′ 10″
14;Lotte-torony;Dél-Korea Szöul, Dél-Korea;510;97;2015;é. sz. 37° 30′ 45″, k. h. 127° 06′ 10″
15;Taipei 101;Tajvan Tajpej, Tajvan;509;101;2004;é. sz. 25° 02′ 01″, k. h. 121° 33′ 52″
16;Shanghai World Financial Center;Kína Sanghaj, Kína;492;101;2008;é. sz. 31° 14′ 12″, k. h. 121° 30′ 10″
17;Nemzetközi Kereskedelmi Központ;Hongkong Hongkong, Kína;484;118;2010;é. sz. 22° 18′ 12″, k. h. 114° 09′ 37″
18;Oriental Pearl Tower;Kína Sanghaj, Kína;468,9;14;1994;é. sz. 31,241669°, k. h. 121,494717°
19;John Hancock Center;Amerikai Egyesült Államok Chicago, Amerikai Egyesült Államok;457,2;100;1969;é. sz. 41° 53′ 56″, ny. h. 87° 37′ 23″
20;Petronas-ikertorony;Malajzia Kuala Lumpur, Malajzia;452;88;1998;é. sz. 3° 09′ 28″, k. h. 101° 42′ 42″
21;Greenland Square Zifeng Tower;Kína Nanking, Kína;450;66;2010;é. sz. 32° 03′ 45″, k. h. 118° 46′ 41″
22;Empire State Building;Egyesült Államok New York, Amerikai Egyesült Államok;449;102;1930;é. sz. 40° 44′ 54″, ny. h. 73° 59′ 07″
23;KK100;Kína Sencsen, Kína;441,8;100;2011;é. sz. 22° 32′ 48″, k. h. 114° 06′ 07″
24;Guangzhou West Tower;Kína Kanton, Kína;440;103;2009;é. sz. 23° 07′ 13″, k. h. 113° 19′ 05″
25;Milad-torony;Irán Teherán, Irán;435;6;2007;é. sz. 35° 44′ 41″, k. h. 51° 22′ 31″
26;Marina 101;Egyesült Arab Emírségek Dubaj, Egyesült Arab Emírségek;426,5;107;2016;é. sz. 22° 05′ 22″, k. h. 55° 08′ 56″
27;432 Park Avenue;Egyesült Államok New York, Egyesült Államok;425;88;2015;é. sz. 40° 45′ 40″, ny. h. 73° 58′ 17″
28;Trump International Hotel & Tower;Egyesült Államok Chicago, Egyesült Államok;423,4;98;2009;é. sz. 41° 53′ 20″, ny. h. 87° 37′ 36″
29;Jin Mao Tower;Kína Sanghaj, Kína;421,5;88;1998;é. sz. 31° 14′ 14″, k. h. 121° 30′ 05″
30;Kuala Lumpur Tower;Malajzia Kuala Lumpur, Malajzia;421;6;1995;é. sz. 3° 09′ 10″, k. h. 101° 42′ 12″
31;GRES-2 Power Station Chimney;Kazahsztán Ekibasztusz, Kazahsztán;419,7;-;1987;é. sz. 52° 01′ 20″, k. h. 75° 28′ 42″
32;Tiencsin rádió- és tévétorony;Kína Tiencsin, Kína;415,2;-;1991;é. sz. 39° 05′ 31″, k. h. 117° 10′ 30″
33;Al Hamra Tower;Kuvait Kuvaitváros, Kuvait;414;80;2012;é. sz. 29,3790°, k. h. 47,9932°
34;Two International Finance Centre;Hongkong Hongkong, Kína;412,5;88;2003;é. sz. 22° 17′ 06″, k. h. 114° 09′ 33″
35;Hellissandur Rádióantenna;Izland Hellissandur, Izland;412;-;1963;é. sz. 64° 54′ 26″, ny. h. 23° 55′ 20″
36;Central rádió- és tévétorony;Kína Peking, Kína;405;-;1992;é. sz. 39° 55′ 05″, k. h. 116° 18′ 01″
37;CITIC Pláza;Kína Kanton, Kína;391;80;1997;é. sz. 23° 08′ 40″, k. h. 113° 19′ 10″
38;Zhongyuan Tower;Kína Csengcsou, Kína;388;-;2010;é. sz. 34° 43′ 29″, k. h. 113° 43′ 22″
39;Kijevi TV-torony;Ukrajna Kijev, Ukrajna;385;-;1973;é. sz. 50° 28′ 16″, k. h. 30° 27′ 12″
40;Shun Hing Square;Kína Sencsen, Kína;384;69;1996;é. sz. 22° 32′ 43″, k. h. 114° 06′ 21″
41;Inco Superstack;Kanada Sudbury, Kanada;380;-;1971;é. sz. 46° 28′ 48″, ny. h. 81° 03′ 23″
42;Tuntex Sky Tower;Tajvan Kaohsziung, Tajvan;378;85;1997;é. sz. 22° 36′ 42″, k. h. 120° 18′ 00″
43;Emirates Park Towers;Egyesült Arab Emírségek Dubaj, Egyesült Arab Emírségek;376;82;2010;é. sz. 25,1856°, k. h. 55,2566°
44;Tashkent Tower;Üzbegisztán Taskent, Üzbegisztán;374,9;-;1984;é. sz. 41° 20′ 44″, k. h. 69° 17′ 05″
45;Central Plaza;Hongkong Hongkong, Kína;374;78;1992;é. sz. 22° 16′ 48″, k. h. 114° 10′ 25″
