megyekod;kshkod;megye;irsz;telepules;lakossag;ffi;no;tipus
3;26684;BAC;6430;Kecskemét;110 621;52 484;58 137;megye székhely
3;10719;BAC;6500;Bácsalmás;6 665;3 207;3 458;város
3;03522;BAC;6087;Baja;36 041;16 937;19 104;város
3;07612;BAC;6344;Dunavecse;3 991;1 921;2 070;város
3;18759;BAC;6070;Hajós;2 978;1 404;1 574;város
3;21999;BAC;6440;Izsák;5 948;2 872;3 076;város
3;09469;BAC;6300;Jánoshalma;8 650;4 211;4 439;város
3;06442;BAC;6237;Kalocsa;16 106;7 582;8 524;város
3;19789;BAC;6041;Kecel;8 616;4 147;4 469;város
3;22530;BAC;6200;Kerekegyháza;6 730;3 326;3 404;város
3;09344;BAC;6100;Kiskőrös;14 202;6 721;7 481;város
3;20297;BAC;6400;Kiskunfélegyháza;30 155;14 394;15 761;város
3;32434;BAC;6120;Kiskunhalas;28 392;13 611;14 781;város
3;28130;BAC;6050;Kunszentmiklós;8 387;4 085;4 302;város
3;17677;BAC;6449;Lajosmizse;12 045;6 085;5 960;város
3;16018;BAC;6320;Mélykút;5 082;2 465;2 617;város
3;29115;BAC;6230;Solt;6 468;3 126;3 342;város
3;19983;BAC;6080;Soltvadkert;7 452;3 622;3 830;város
3;25061;BAC;6060;Szabadszállás;6 361;3 063;3 298;város
3;30623;BAC;6422;Tiszakécske;11 453;5 580;5 873;város
3;28486;BAC;6453;Tompa;4 702;2 318;2 384;város
3;10180;BAC;6114;Bácsbokod;2 593;1 282;1 311;nagyközség
3;32823;BAC;6328;Bugac;2 695;1 310;1 385;nagyközség
3;18458;BAC;6065;Harta;3 444;1 670;1 774;nagyközség
3;06202;BAC;6346;Lakitelek;4 818;2 371;2 447;nagyközség
3;24545;BAC;6076;Tiszaalpár;5 010;2 436;2 574;nagyközség
3;17686;BAC;6221;Ágasegyháza;2 029;1 024;1 005;község
3;21944;BAC;6088;Akasztó;3 310;1 613;1 697;község
3;21148;BAC;6454;Apostag;2 064;1 062;1 002;község
3;27234;BAC;6511;Bácsborsód;1 154;555;599;község
3;08697;BAC;6425;Bácsszentgyörgy;160;89;71;község
3;30155;BAC;6035;Bácsszőlős;334;177;157;község
3;13408;BAC;6412;Ballószög;3 731;1 844;1 887;község
3;25937;BAC;6528;Balotaszállás;1 582;760;822;község
3;03656;BAC;6351;Bátmonostor;1 574;785;789;község
3;11961;BAC;6235;Bátya;2 073;1 030;1 043;község
3;08305;BAC;6445;Bócsa;2 007;1 016;991;község
3;19327;BAC;6114;Borota;1 270;621;649;község
3;33631;BAC;6239;Bugacpusztaháza;263;130;133;község
3;10472;BAC;6523;Császártöltés;2 312;1 089;1 223;község
3;26471;BAC;6448;Csátalja;1 496;747;749;község
3;16373;BAC;6222;Csávoly;1 793;887;906;község
3;12344;BAC;6424;Csengőd;2 149;1 033;1 116;község
3;15699;BAC;6135;Csikéria;808;391;417;község
3;12025;BAC;6524;Csólyospálos;1 614;805;809;község
3;10533;BAC;6342;Dávod;2 075;1 010;1 065;község
3;07524;BAC;6323;Drágszél;347;168;179;község
3;21069;BAC;6513;Dunaegyháza;1 456;742;714;község
3;12566;BAC;6333;Dunafalva;917;462;455;község
3;11606;BAC;6325;Dunaszentbenedek;812;405;407;község
3;14766;BAC;6353;Dunatetétlen;555;265;290;község
3;04109;BAC;6347;Dusnok;3 014;1 482;1 532;község
3;11864;BAC;6348;Érsekcsanád;2 950;1 472;1 478;község
3;33589;BAC;6352;Érsekhalma;613;307;306;község
3;33598;BAC;6447;Felsőlajos;947;491;456;község
3;02954;BAC;6331;Felsőszentiván;1 855;892;963;község
3;02149;BAC;6042;Foktő;1 585;773;812;község
3;33622;BAC;6085;Fülöpjakab;1 146;607;539;község
3;14058;BAC;6522;Fülöpszállás;2 323;1 127;1 196;község
3;31848;BAC;6111;Gara;2 258;1 079;1 179;község
3;26383;BAC;6334;Gátér;920;454;466;község
3;03577;BAC;6136;Géderlak;995;466;529;község
3;08350;BAC;6034;Harkakötöny;860;414;446;község
3;04093;BAC;6525;Helvécia;4 897;2 464;2 433;község
3;12937;BAC;6341;Hercegszántó;1 952;968;984;község
3;27845;BAC;6238;Homokmégy;1 301;633;668;község
3;08095;BAC;6078;Imrehegy;676;345;331;község
3;17923;BAC;6133;Jakabszállás;2 709;1 322;1 387;község
3;08378;BAC;6211;Jászszentlászló;2 512;1 223;1 289;község
3;30605;BAC;6455;Kaskantyú;995;520;475;község
3;11280;BAC;6423;Katymár;1 848;907;941;község
3;18166;BAC;6421;Kéleshalom;444;231;213;község
3;28158;BAC;6134;Kisszállás;2 448;1 191;1 257;község
3;13806;BAC;6097;Kömpöc;699;331;368;község
3;05856;BAC;6435;Kunadacs;1 499;763;736;község
3;06044;BAC;6043;Kunbaja;1 563;752;811;község
3;07728;BAC;6413;Kunbaracs;647;314;333;község
3;29027;BAC;6096;Kunfehértó;2 237;1 091;1 146;község
3;31918;BAC;6115;Kunpeszér;739;365;374;község
3;31893;BAC;6045;Kunszállás;1 737;844;893;község
3;05786;BAC;6456;Ladánybene;1 715;883;832;község
3;23357;BAC;6452;Madaras;2 814;1 352;1 462;község
3;27809;BAC;6343;Mátételke;517;254;263;község
3;34096;BAC;6527;Móricgát;464;226;238;község
3;25955;BAC;6345;Nagybaracska;2 315;1 144;1 171;község
