helysegnev;tipus;megye;Járás neve;Járás székhelye;terulet;lakossag;lakosokszama
Aba;város;Fejér;Székesfehérvári;Székesfehérvár;8 805;4444;1559
Abádszalók;város;Jász-Nagykun-Szolnok;Kunhegyesi;Kunhegyes;13 223;3849;2017
Abaliget;község;Baranya;Pécsi;Pécs;1 609;613;284
Abasár;község;Heves;Gyöngyösi;Gyöngyös;2 082;2498;1176
Abaújalpár;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;848;64;54
Abaújkér;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;1 727;572;277
Abaújlak;község;Borsod-Abaúj-Zemplén;Szikszói;Szikszó;706;81;75
Abaújszántó;város;Borsod-Abaúj-Zemplén;Gönci;Gönc;4 739;2718;1162
Abaújszolnok;község;Borsod-Abaúj-Zemplén;Szikszói;Szikszó;867;216;50
Abaújvár;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;735;253;138
Abda;község;Győr-Moson-Sopron;Győri;Győr;1 902;3221;1217
Abod;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;3 116;145;128
Abony;város;Pest;Ceglédi;Cegléd;12 797;14622;5953
Ábrahámhegy;község;Veszprém;Tapolcai;Tapolca;1 489;583;392
Ács;város;Komárom-Esztergom;Komáromi;Komárom;10 385;6857;2783
Acsa;község;Pest;Váci;Vác;2 694;1297;475
Acsád;község;Vas;Szombathelyi;Szombathely;1 434;603;189
Acsalag;község;Győr-Moson-Sopron;Csornai;Csorna;1 042;471;223
Ácsteszér;község;Komárom-Esztergom;Kisbéri;Kisbér;1 771;658;239
Adács;község;Heves;Gyöngyösi;Gyöngyös;3 794;2544;1193
Ádánd;község;Somogy;Siófoki;Siófok;2 952;2120;833
Adásztevel;község;Veszprém;Pápai;Pápa;837;760;320
Adony;város;Fejér;Dunaújvárosi;Dunaújváros;6 105;3974;1672
Adorjánháza;község;Veszprém;Devecseri;Devecser;1 142;348;197
Adorjás;község;Baranya;Sellyei;Sellye;810;158;59
Ág;község;Baranya;Hegyháti;Sásd;1 203;155;66
